,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_checkin_type,previous_delay_at_checkout_in_minutes,delay_status
1206,537064,401649,connect,ended,84.0,562864.0,0.0,connect,-147.0,On time
1207,537575,409296,mobile,ended,-156.0,543251.0,0.0,mobile,-18.0,On time
1208,543571,373893,connect,ended,-4.0,534820.0,150.0,connect,-576.0,On time
1209,544588,377591,connect,ended,50.0,562313.0,60.0,connect,-362.0,On time
1210,545963,305525,connect,ended,-33.0,549063.0,150.0,connect,-35.0,On time
1211,546064,314220,mobile,ended,-218.0,550400.0,150.0,mobile,10.0,Late
1212,564260,245154,connect,canceled,,561694.0,420.0,connect,-47.0,On time
1213,564479,359485,connect,ended,121.0,561602.0,210.0,connect,8.0,Late
1214,565170,318371,mobile,ended,-150.0,560843.0,0.0,mobile,44.0,Late
1215,558129,344254,connect,ended,-185.0,558115.0,690.0,connect,6.0,Late
1216,558313,285452,connect,ended,-21.0,556448.0,720.0,connect,14.0,Late
1217,558546,396712,mobile,ended,2733.0,554234.0,420.0,mobile,26.0,Late
1218,559335,391125,mobile,ended,7.0,559214.0,120.0,mobile,79.0,Late
1219,559521,411754,connect,ended,81.0,556456.0,660.0,connect,97.0,Late
1220,561339,366872,connect,ended,-146.0,566968.0,690.0,connect,-31.0,On time
1221,561698,312078,connect,ended,45.0,564914.0,0.0,connect,-542.0,On time
1222,562202,216576,connect,ended,31.0,559387.0,240.0,connect,-4.0,On time
1223,562290,349171,connect,ended,-839.0,562874.0,420.0,connect,13.0,Late
1224,563001,272724,mobile,ended,263.0,561423.0,240.0,mobile,,On time
1225,563092,410214,mobile,ended,-38.0,563145.0,180.0,mobile,28.0,Late
1226,563454,409274,mobile,ended,76.0,563821.0,30.0,mobile,-8.0,On time
1227,563808,412210,mobile,ended,98.0,561890.0,240.0,mobile,249.0,Late
1228,563832,389565,connect,ended,-5.0,564385.0,60.0,connect,22.0,Late
1229,564522,333753,mobile,ended,95.0,564604.0,660.0,mobile,97.0,Late
1230,564890,396266,mobile,ended,-165.0,562788.0,510.0,mobile,121.0,Late
1231,558480,381787,connect,ended,-15.0,548193.0,210.0,connect,158.0,Late
1232,558742,192603,mobile,ended,3.0,562673.0,420.0,mobile,415.0,Late
1233,558905,392683,connect,ended,55.0,553157.0,0.0,connect,-18.0,On time
1234,561645,383625,connect,ended,-138.0,567392.0,0.0,connect,15.0,Late
1235,565470,394043,mobile,ended,15.0,562479.0,180.0,mobile,127.0,Late
1236,565814,389565,connect,ended,48.0,565397.0,0.0,connect,-1.0,On time
1237,565979,371159,connect,ended,48.0,563458.0,60.0,connect,-24.0,On time
1238,566956,403558,mobile,ended,,563099.0,120.0,mobile,,On time
1239,568286,359641,mobile,ended,-28.0,560844.0,240.0,mobile,72.0,Late
1240,568405,353274,mobile,ended,15.0,554676.0,0.0,mobile,-8.0,On time
1241,569301,195977,connect,ended,62.0,561125.0,660.0,connect,-110.0,On time
1242,569376,330318,mobile,ended,-19.0,566099.0,120.0,mobile,123.0,Late
1243,573387,412916,mobile,ended,74.0,565754.0,60.0,mobile,-22.0,On time
1244,575031,319886,connect,ended,92.0,571453.0,660.0,connect,-14.0,On time
1245,538300,365926,connect,canceled,,537243.0,270.0,connect,242.0,Late
1246,539038,378072,connect,ended,-17.0,529169.0,720.0,connect,1.0,Late
1247,565937,290600,connect,ended,-9.0,567467.0,0.0,connect,6.0,Late
1248,568112,395228,mobile,ended,145.0,563130.0,0.0,mobile,-19.0,On time
1249,570098,410702,mobile,canceled,,562806.0,150.0,mobile,16.0,Late
1250,570764,230675,mobile,ended,211.0,564217.0,690.0,mobile,44.0,Late
1251,572707,241021,connect,canceled,,574151.0,0.0,connect,3.0,Late
1252,573350,301068,mobile,ended,1.0,530691.0,0.0,mobile,8.0,Late
1253,574755,373802,mobile,ended,-16.0,571574.0,30.0,mobile,-44.0,On time
1254,540202,408267,mobile,ended,-115.0,537171.0,30.0,mobile,17.0,Late
1255,564485,290726,connect,ended,-42.0,554952.0,480.0,connect,-65.0,On time
1256,568007,414878,mobile,ended,123.0,566039.0,300.0,mobile,8.0,Late
1257,568444,353425,connect,ended,-27.0,557068.0,90.0,connect,30.0,Late
1258,568500,312603,connect,ended,0.0,565109.0,60.0,connect,-956.0,On time
1259,570888,265239,connect,ended,-21.0,551401.0,270.0,connect,-2938.0,On time
1260,571936,248926,mobile,ended,4.0,567346.0,60.0,mobile,-4.0,On time
1261,574527,397599,mobile,ended,87.0,572793.0,660.0,mobile,206.0,Late
